source,title,app_id,developer,genre,content_rating,score,ratings,installs,price,url,app_type,web_accessible,web_url,login_required,login_methods,age_verification_required,age_verification_method,subscription_required_for_long_chat,all_features_available_without_subscription,subscription_features,subscription_cost,languages_supported
Google Play,mimel: Chat with AI Boyfriend,com.liume.mimel,Liume Inc.,Lifestyle,Teen,0,0,500+,Free,https://play.google.com/store/apps/details?id=com.liume.mimel&hl=en&gl=us,companion,True,https://mimel-ai.com/,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$1.99-$189.99/month USD,EN
Google Play,Flipped:Chat with AI Character,com.dating.ai,First Group pte ltd,Entertainment,Mature 17+,4.237009,18825,"1,000,000+",Free,https://play.google.com/store/apps/details?id=com.dating.ai&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Image generation",$0.99-$99.99/month USD,EN
Google Play,MoguChat:Talk to Your AI Lover,ai.moguchat.app,Quantum Narrative,Entertainment,Mature 17+,3.8,288,"10,000+",Free,https://play.google.com/store/apps/details?id=ai.moguchat.app&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Enhanced memory",$1.49-$64.99/month USD,EN
Google Play,Luxley- AI Boyfriend,com.luxleyai.chat2026,Salim Semangat Dev,Entertainment,Mature 17+,0,0,"1,000+",Free,https://play.google.com/store/apps/details?id=com.luxleyai.chat2026&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Enhanced memory,$3.99-$89.99/month USD,EN
Google Play,Chai: Chat AI Platform,com.Beauchamp.Messenger.external,Chai Research,Entertainment,Mature 17+,3.6426842,738261,"10,000,000+",Free,https://play.google.com/store/apps/details?id=com.Beauchamp.Messenger.external&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Image generation",$0.99-$429.99/month USD,EN
Google Play,AmourAI : My Virtual Boyfriend,ai.boyfriend.virtual.iboy.dating.lover,Grey AI Solutions,Entertainment,Everyone,0,0,"1,000+",Free,https://play.google.com/store/apps/details?id=ai.boyfriend.virtual.iboy.dating.lover&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,False,Premium features,$7.49-$48.99/month USD,EN
Google Play,Him AI: AI Dream Boyfriend,com.chat.himai,WISDOMONE TECHNOLOGY LIMITED,Entertainment,Mature 17+,,,50+,Free,https://play.google.com/store/apps/details?id=com.chat.himai&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Enhanced memory",$1.99-$99.99/month USD,EN
Google Play,AI Love Simulator - Moshas,com.fjsh.moshas,fjsh,Entertainment,Everyone,2.6,63,"5,000+",Free,https://play.google.com/store/apps/details?id=com.fjsh.moshas&hl=en&gl=us,companion,True,https://forms.gle/7sKsVC2kL9rWAXo7A,True,"Email/Password, Google, Apple",False,,False,True,,,EN
Google Play,Botify AI: Chatbot & Companion,ai.botify.app,"Ex-human, Inc",Entertainment,Mature 17+,3.8004074,27204,"1,000,000+",Free,https://play.google.com/store/apps/details?id=ai.botify.app&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Enhanced memory",$1.99-$149.99/month USD,EN
Google Play,Partner - Your AI Companion,com.myapp.partner,IndCreative,Social,Everyone,2.1666667,33,"1,000+",Free,https://play.google.com/store/apps/details?id=com.myapp.partner&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,False,Premium features,$5.99-$22.99/month USD,EN
Google Play,Blush: AI Dating Simulator,ai.blush,Blush AI,Entertainment,Mature 17+,4.4095426,16691,"1,000,000+",Free,https://play.google.com/store/apps/details?id=ai.blush&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$0.99-$149.99/month USD,EN
Google Play,Secret AI: Local AI Chat,io.secretai.llm,Secret AI,Productivity,Teen,2.7631578,192,"10,000+",Free,https://play.google.com/store/apps/details?id=io.secretai.llm&hl=en&gl=us,companion,True,https://secretai.io,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),True,False,Unlimited messaging,$4.99-$119.99/month USD,EN
Google Play,Boyfriend Plus,com.dkc.bfpp,Dragon King Creations,Simulation,Mature 17+,3.483871,7205,"1,000,000+",Free,https://play.google.com/store/apps/details?id=com.dkc.bfpp&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Voice features,$2.99-$6.49/month USD,EN
Google Play,Paradot: Personal AI chat,com.withfeelingai.test,WITHFEELING.AI,Social,Mature 17+,3.9924242,78278,"10,000,000+",Free,https://play.google.com/store/apps/details?id=com.withfeelingai.test&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Enhanced memory,$0.49-$69.99/month USD,EN
Google Play,TiKie: AI Fantasy & Roleplay,com.tikie.ai.android,Junoverse,Entertainment,Mature 17+,3.7763975,5317,"1,000,000+",Free,https://play.google.com/store/apps/details?id=com.tikie.ai.android&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Voice features,$0.99-$199.99/month USD,EN
Google Play,Love Chatbot X - AI Characters,free.ai.chat.gpt.bot.plus.assistant.v3,Real Escape AI Studio,Entertainment,Mature 17+,4.504587,3952,"100,000+",Free,https://play.google.com/store/apps/details?id=free.ai.chat.gpt.bot.plus.assistant.v3&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Enhanced memory",$0.99-$229.99/month USD,EN
Google Play,FictionLab AI,ai.fictionlab.app,FictionLab,Entertainment,Teen,4.27451,1968,"100,000+",Free,https://play.google.com/store/apps/details?id=ai.fictionlab.app&hl=en&gl=us,companion,True,https://fictionlab.ai,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$7.99/month USD,EN
Google Play,Indian AI Boyfriend: Raj,com.aiboyfriend.raj,AG ARMY,Entertainment,Teen,,,100+,Free,https://play.google.com/store/apps/details?id=com.aiboyfriend.raj&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,True,,,EN
Google Play,Create your Virtual AI Partner,ai.goanai.chat,LunaCat Ivan Marzan,Entertainment,Everyone,3.877551,1270,"100,000+",Free,https://play.google.com/store/apps/details?id=ai.goanai.chat&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,False,Voice features,$7.99-$39.99/month USD,EN
Google Play,Virtual AI Girlfriend CoupleAI,com.smartfy.coupleai,DictionaryAndTranslator,Entertainment,Mature 17+,4.1,1543,"100,000+",Free,https://play.google.com/store/apps/details?id=com.smartfy.coupleai&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Enhanced memory",$0.49-$99.99/month USD,EN
Google Play,Dopple.AI,mobile.dopple.ai,Dopple,Entertainment,Everyone,2.655914,9755,"1,000,000+",Free,https://play.google.com/store/apps/details?id=mobile.dopple.ai&hl=en&gl=us,companion,True,https://beta.dopple.ai/,True,"Email/Password, Google, Apple",False,,False,False,Premium features,$9.99-$59.99/month USD,EN
Google Play,Chacha - AI Anime Chat,ai.anirole.mobile,"Kinkaku, Inc",Entertainment,Teen,4.5454545,194,"10,000+",Free,https://play.google.com/store/apps/details?id=ai.anirole.mobile&hl=en&gl=us,companion,True,https://anirole.com,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$0.99-$99.99/month USD,EN
Google Play,Dialogue: AI Chat & Companion,com.pheon,Pheon,Entertainment,Teen,3.4761217,15144,"1,000,000+",Free,https://play.google.com/store/apps/details?id=com.pheon&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Voice features,$4.99-$299.99/month USD,EN
Google Play,Melting – AI Romance Chat,chat.melting.apppp,Watnee Inc.,Entertainment,Mature 17+,3.4666667,2041,"100,000+",Free,https://play.google.com/store/apps/details?id=chat.melting.apppp&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Enhanced memory",$0.99-$124.99/month USD,EN
Google Play,MatchMe: My Secret Crush,com.maplehouse.gp.ichat.aa,Crazy Maple Studio Dev,Role Playing,Teen,3.7,686,"100,000+",Free,https://play.google.com/store/apps/details?id=com.maplehouse.gp.ichat.aa&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Voice features,$19.99-$59.99/month USD,EN
Google Play,loody: Your AI Companion,com.buddy.loody,Buddy AI Labs,Health & Fitness,Everyone,3.6410255,83,"5,000+",Free,https://play.google.com/store/apps/details?id=com.buddy.loody&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,False,"Voice features, Enhanced memory",$4.99-$59.99/month USD,EN
Google Play,Korean Boyfriend Maker,com.shofj.koreanboyfriendmaker,fjsh,Entertainment,Everyone,0,0,"1,000+",Free,https://play.google.com/store/apps/details?id=com.shofj.koreanboyfriendmaker&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,True,,,EN
Google Play,Rosytalk: AI Character Chat,com.rosytalk.ai,MINDZEN AI,Entertainment,Mature 17+,4.4882154,31479,"1,000,000+",Free,https://play.google.com/store/apps/details?id=com.rosytalk.ai&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Voice features,$2.99-$199.99/month USD,EN
Google Play,AI Friend: Chat with Character,com.fjsh.fantalk,fjsh,Entertainment,Everyone,3.625,132,"10,000+",Free,https://play.google.com/store/apps/details?id=com.fjsh.fantalk&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,True,,,EN
Google Play,Tokimeki AI: Virtual Love Sim,com.fjsh.throbfe,fjsh,Entertainment,Everyone,3,201,"10,000+",Free,https://play.google.com/store/apps/details?id=com.fjsh.throbfe&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,True,,,EN
Google Play,Kinda: AI Character Chat,kinda.character.chat,Generous Tech Inc.,Entertainment,Everyone,1.9333333,226,"100,000+",Free,https://play.google.com/store/apps/details?id=kinda.character.chat&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,False,Image generation,$7.49-$274.99/month USD,EN
Google Play,Weifu AI: My Girlfriend Chat,com.soulmate.ai.chat.virtual.friend.companion,Vitality AI,Entertainment,Mature 17+,4.4067163,17051,"5,000,000+",Free,https://play.google.com/store/apps/details?id=com.soulmate.ai.chat.virtual.friend.companion&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Enhanced memory",$1.99-$49.99/month USD,EN
Google Play,Suka:AI Character&AI Story,com.ezuseapp.ezcrush.chatbot,AILI TECH,Entertainment,Mature 17+,4.065637,6318,"500,000+",Free,https://play.google.com/store/apps/details?id=com.ezuseapp.ezcrush.chatbot&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$4.99-$99.99/month USD,EN
Google Play,Caveduck-Meet Your AI Friends,com.warpspace.caveduckaos,Warpspace,Entertainment,Teen,3.128205,642,"100,000+",Free,https://play.google.com/store/apps/details?id=com.warpspace.caveduckaos&hl=en&gl=us,companion,True,https://caveduck.io/,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Voice features,$2.99-$119.99/month USD,EN
Google Play,HiWaifu: AI Friend & Waifu Hub,com.hiwaifu.app,LANGUAGE POWER,Social,Mature 17+,4.021398,79635,"5,000,000+",Free,https://play.google.com/store/apps/details?id=com.hiwaifu.app&hl=en&gl=us,companion,True,https://hiwaifu.com,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$1.99-$129.99/month USD,EN
Google Play,Arcana AI: AI Roleplay & Chat,com.mythicai.app,NONIC Corporation,Entertainment,Teen,4.155844,1182,"50,000+",Free,https://play.google.com/store/apps/details?id=com.mythicai.app&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),True,False,Voice features,$2.99-$84.99/month USD,EN
Google Play,SoulSync: AI Chat,live.soulsync.app,SeaArt,Entertainment,Mature 17+,3.7037036,160,"10,000+",Free,https://play.google.com/store/apps/details?id=live.soulsync.app&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$0.49-$99.99/month USD,EN
Google Play,Poe - Fast AI Chat,com.poe.android,"Quora, Inc.",Productivity,Everyone,4.497151,457222,"10,000,000+",Free,https://play.google.com/store/apps/details?id=com.poe.android&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,False,Premium features,$0.99-$999.99/month USD,EN
Google Play,YourMove AI Dating Assistant,ai.yourmove.app,Squip AI,Lifestyle,Teen,4.3506494,582,"50,000+",Free,https://play.google.com/store/apps/details?id=ai.yourmove.app&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$8.99-$79.99/month USD,EN
Google Play,CRUSH AI: Romance & Roleplay,xyz.passion.crushai,Passion Labs Inc.,Entertainment,Teen,2,271,"10,000+",Free,https://play.google.com/store/apps/details?id=xyz.passion.crushai&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Image generation, Enhanced memory",$2.49-$229.99/month USD,EN
Google Play,My AI Friend,talking.toy.funny.aifriend,Funny Talking,Lifestyle,Everyone,2.7619047,167,"10,000+",Free,https://play.google.com/store/apps/details?id=talking.toy.funny.aifriend&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,False,Voice features,$2.99-$29.99/month USD,EN
Google Play,Rochat-AI Character Chat,ai.rochat.bot,rochat.ai,Entertainment,Mature 17+,2.94,2170,"500,000+",Free,https://play.google.com/store/apps/details?id=ai.rochat.bot&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$5.99-$249.99/month USD,EN
Google Play,"Huma - AI Chat, Fun & Images",com.ai.myhuma.aicompanion,myhuma.ai,Communication,Mature 17+,2.5,11,"1,000+",Free,https://play.google.com/store/apps/details?id=com.ai.myhuma.aicompanion&hl=en&gl=us,companion,True,https://myhuma.ai,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Voice features,$5.49-$104.99/month USD,EN
Google Play,RolePlai - Ai Character Chat,com.roleplai.app,RolePlai,Entertainment,Teen,4.04,3308,"100,000+",Free,https://play.google.com/store/apps/details?id=com.roleplai.app&hl=en&gl=us,companion,True,https://roleplai.app/,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Enhanced memory",$1.99-$99.99/month USD,EN
Google Play,LoveMode: Pretty AI Girlfriend,com.kodrak.aidreamgirls,kodrakcompany,Communication,Mature 17+,4.183453,9887,"500,000+",Free,https://play.google.com/store/apps/details?id=com.kodrak.aidreamgirls&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$3.49-$199.99/month USD,EN
Google Play,Mana (formerly LoveHeart AI),ai.loveheart.withLove,Work Flows Pty Ltd,Education,Everyone,,,"10,000+",Free,https://play.google.com/store/apps/details?id=ai.loveheart.withLove&hl=en&gl=us,companion,True,https://loveheart.ai,True,"Email/Password, Google, Apple",False,,False,True,,,EN
Google Play,Floze: Meet your AI crush,com.printage.floze,"Printage, inc.",Entertainment,Mature 17+,3.1585367,1262,"100,000+",Free,https://play.google.com/store/apps/details?id=com.printage.floze&hl=en&gl=us,companion,True,https://floze.ai,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Enhanced memory,$2.99-$99.99/month USD,EN
